"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Lebanon","2012","Not applicable","Not applicable","Percent","2.1894"
"Lebanon","2011","Not applicable","Not applicable","Percent","1.64626"
"Lebanon","2010","Not applicable","Not applicable","Percent","1.63173"
"Lebanon","2009","Not applicable","Not applicable","Percent","1.77877"
"Lebanon","2008","Not applicable","Not applicable","Percent","2.035"
"Lebanon","2007","Not applicable","Not applicable","Percent","2.60987"
"Lebanon","2006","Not applicable","Not applicable","Percent","2.80863"
"Lebanon","2005","Not applicable","Not applicable","Percent","2.67227"
"Lebanon","2004","Not applicable","Not applicable","Percent","2.66674"
"Lebanon","2002","Not applicable","Not applicable","Percent","2.55271"
"Lebanon","2001","Not applicable","Not applicable","Percent","2.84148"
"Lebanon","2000","Not applicable","Not applicable","Percent","1.94449"
"Lebanon","1999","Not applicable","Not applicable","Percent","1.98299"
"Lebanon","1996","Not applicable","Not applicable","Percent","2.08467"
"Lebanon","1995","Not applicable","Not applicable","Percent","2.22463"
"Lebanon","1994","Not applicable","Not applicable","Percent","1.93126"
"Lebanon","1993","Not applicable","Not applicable","Percent","1.75642"
"Lesotho","2008","Not applicable","Not applicable","Percent","12.98201"
"Lesotho","2006","Not applicable","Not applicable","Percent","13.85712"
"Lesotho","2005","Not applicable","Not applicable","Percent","14.79096"
"Lesotho","2004","Not applicable","Not applicable","Percent","13.27129"
"Lesotho","2003","Not applicable","Not applicable","Percent","15.61419"
"Lesotho","2002","Not applicable","Not applicable","Percent","11.80573"
"Lesotho","2001","Not applicable","Not applicable","Percent","10.77479"
"Lesotho","2000","Not applicable","Not applicable","Percent","11.492"
"Lesotho","1999","Not applicable","Not applicable","Percent","14.1626"
"Lesotho","1997","Not applicable","Not applicable","Percent","13.17703"
"Lesotho","1995","Not applicable","Not applicable","Percent","10.05103"
"Lesotho","1994","Not applicable","Not applicable","Percent","8.13516"
"Lesotho","1993","Not applicable","Not applicable","Percent","9.89221"
"Lesotho","1989","Not applicable","Not applicable","Percent","6.78905"
"Lesotho","1988","Not applicable","Not applicable","Percent","7.86968"
"Lesotho","1985","Not applicable","Not applicable","Percent","7.79441"
"Lesotho","1984","Not applicable","Not applicable","Percent","6.99369"
"Lesotho","1983","Not applicable","Not applicable","Percent","10.77014"
"Liberia","2012","Not applicable","Not applicable","Percent","2.82069"
"Liberia","2008","Not applicable","Not applicable","Percent","3.26127"
"Liberia","1980","Not applicable","Not applicable","Percent","6.25906"
"Liberia","1978","Not applicable","Not applicable","Percent","6.99484"
"Libyan Arab Jamahiriya","1999","Not applicable","Not applicable","Percent","2.67204"
"Liechtenstein","2008","Not applicable","Not applicable","Percent","2.11156"
"Liechtenstein","2007","Not applicable","Not applicable","Percent","1.9208"
"Liechtenstein","2006","Not applicable","Not applicable","Percent","2.05964"
"Liechtenstein","2004","Not applicable","Not applicable","Percent","2.43333"
"Liechtenstein","2003","Not applicable","Not applicable","Percent","2.46014"
"Lithuania","2011","Not applicable","Not applicable","Percent","5.17268"
"Lithuania","2010","Not applicable","Not applicable","Percent","5.35984"
"Lithuania","2009","Not applicable","Not applicable","Percent","5.63608"
"Lithuania","2008","Not applicable","Not applicable","Percent","4.87659"
"Lithuania","2007","Not applicable","Not applicable","Percent","4.63877"
"Lithuania","2006","Not applicable","Not applicable","Percent","4.81553"
"Lithuania","2005","Not applicable","Not applicable","Percent","4.88093"
"Lithuania","2004","Not applicable","Not applicable","Percent","5.16701"
"Lithuania","2003","Not applicable","Not applicable","Percent","5.16174"
"Lithuania","2002","Not applicable","Not applicable","Percent","5.83925"
"Lithuania","2001","Not applicable","Not applicable","Percent","5.88528"
"Lithuania","1998","Not applicable","Not applicable","Percent","6.10868"
"Lithuania","1997","Not applicable","Not applicable","Percent","5.44511"
"Lithuania","1996","Not applicable","Not applicable","Percent","4.81996"
"Lithuania","1995","Not applicable","Not applicable","Percent","4.74456"
"Lithuania","1994","Not applicable","Not applicable","Percent","5.33161"
"Lithuania","1993","Not applicable","Not applicable","Percent","4.38041"
"Luxembourg","2001","Not applicable","Not applicable","Percent","3.74516"
"Luxembourg","1996","Not applicable","Not applicable","Percent","3.53023"
"Luxembourg","1995","Not applicable","Not applicable","Percent","3.6909"
"Luxembourg","1989","Not applicable","Not applicable","Percent","3.90604"
"Luxembourg","1988","Not applicable","Not applicable","Percent","4.04921"
"Luxembourg","1987","Not applicable","Not applicable","Percent","4.11852"
"Luxembourg","1986","Not applicable","Not applicable","Percent","3.82276"
"Luxembourg","1983","Not applicable","Not applicable","Percent","3.34853"
"Luxembourg","1982","Not applicable","Not applicable","Percent","5.32148"
"Luxembourg","1981","Not applicable","Not applicable","Percent","4.72874"
"Luxembourg","1980","Not applicable","Not applicable","Percent","4.59159"
"Luxembourg","1979","Not applicable","Not applicable","Percent","4.44105"
"Luxembourg","1978","Not applicable","Not applicable","Percent","4.37706"
"Luxembourg","1977","Not applicable","Not applicable","Percent","3.72591"
"Luxembourg","1976","Not applicable","Not applicable","Percent","3.64605"
"Luxembourg","1975","Not applicable","Not applicable","Percent","3.45278"
"Macao Special Administrative Region of China","2012","Not applicable","Not applicable","Percent","3.34127"
"Macao Special Administrative Region of China","2011","Not applicable","Not applicable","Percent","2.69069"
"Macao Special Administrative Region of China","2010","Not applicable","Not applicable","Percent","2.6076"
"Macao Special Administrative Region of China","2009","Not applicable","Not applicable","Percent","2.56586"
"Macao Special Administrative Region of China","2008","Not applicable","Not applicable","Percent","2.22777"
"Macao Special Administrative Region of China","2007","Not applicable","Not applicable","Percent","2.08706"
"Macao Special Administrative Region of China","2006","Not applicable","Not applicable","Percent","2.23985"
"Macao Special Administrative Region of China","2005","Not applicable","Not applicable","Percent","2.34887"
"Macao Special Administrative Region of China","2004","Not applicable","Not applicable","Percent","2.3173"
"Macao Special Administrative Region of China","2003","Not applicable","Not applicable","Percent","2.89245"
"Macao Special Administrative Region of China","2002","Not applicable","Not applicable","Percent","2.99049"
"Macao Special Administrative Region of China","2001","Not applicable","Not applicable","Percent","2.85865"
"Macao Special Administrative Region of China","2000","Not applicable","Not applicable","Percent","3.67962"
"Macao Special Administrative Region of China","1999","Not applicable","Not applicable","Percent","3.69231"
"Macao Special Administrative Region of China","1998","Not applicable","Not applicable","Percent","3.68109"
"Madagascar","2012","Not applicable","Not applicable","Percent","2.74298"
"Madagascar","2011","Not applicable","Not applicable","Percent","2.79205"
"Madagascar","2009","Not applicable","Not applicable","Percent","3.17751"
"Madagascar","2008","Not applicable","Not applicable","Percent","2.91041"
"Madagascar","2007","Not applicable","Not applicable","Percent","3.36988"
"Madagascar","2006","Not applicable","Not applicable","Percent","3.28291"
"Madagascar","2005","Not applicable","Not applicable","Percent","3.84872"
"Madagascar","2004","Not applicable","Not applicable","Percent","3.2643"
"Madagascar","2003","Not applicable","Not applicable","Percent","3.03949"
"Madagascar","2002","Not applicable","Not applicable","Percent","2.71621"
"Madagascar","2001","Not applicable","Not applicable","Percent","3.25033"
"Madagascar","2000","Not applicable","Not applicable","Percent","2.91135"
"Madagascar","1999","Not applicable","Not applicable","Percent","2.76755"
"Madagascar","1998","Not applicable","Not applicable","Percent","1.87065"
"Madagascar","1997","Not applicable","Not applicable","Percent","1.84964"
"Madagascar","1993","Not applicable","Not applicable","Percent","2.14018"
"Madagascar","1985","Not applicable","Not applicable","Percent","2.75618"
"Madagascar","1984","Not applicable","Not applicable","Percent","2.92933"
"Madagascar","1983","Not applicable","Not applicable","Percent","2.65448"
"Madagascar","1982","Not applicable","Not applicable","Percent","3.15062"
"Madagascar","1981","Not applicable","Not applicable","Percent","3.81278"
"Madagascar","1980","Not applicable","Not applicable","Percent","4.32025"
"Madagascar","1979","Not applicable","Not applicable","Percent","3.97033"
"Madagascar","1977","Not applicable","Not applicable","Percent","5.05395"
"Madagascar","1976","Not applicable","Not applicable","Percent","3.25501"
"Madagascar","1975","Not applicable","Not applicable","Percent","2.51668"
"Malawi","2011","Not applicable","Not applicable","Percent","5.35337"
"Malawi","2010","Not applicable","Not applicable","Percent","4.35638"
"Malawi","2003","Not applicable","Not applicable","Percent","4.21763"
"Malawi","2001","Not applicable","Not applicable","Percent","4.50898"
"Malawi","2000","Not applicable","Not applicable","Percent","5.24797"
"Malawi","1999","Not applicable","Not applicable","Percent","4.99491"
"Malawi","1996","Not applicable","Not applicable","Percent","5.38126"
"Malawi","1995","Not applicable","Not applicable","Percent","4.00885"
"Malawi","1990","Not applicable","Not applicable","Percent","3.27054"
"Malawi","1989","Not applicable","Not applicable","Percent","3.17635"
"Malawi","1988","Not applicable","Not applicable","Percent","3.17144"
"Malawi","1987","Not applicable","Not applicable","Percent","3.52508"
"Malawi","1986","Not applicable","Not applicable","Percent","3.19867"
"Malawi","1976","Not applicable","Not applicable","Percent","2.42231"
"Malawi","1975","Not applicable","Not applicable","Percent","2.70379"
"Malaysia","2011","Not applicable","Not applicable","Percent","5.94068"
"Malaysia","2010","Not applicable","Not applicable","Percent","5.11661"
"Malaysia","2009","Not applicable","Not applicable","Percent","5.97418"
"Malaysia","2008","Not applicable","Not applicable","Percent","3.95853"
"Malaysia","2007","Not applicable","Not applicable","Percent","4.37254"
"Malaysia","2006","Not applicable","Not applicable","Percent","4.48576"
"Malaysia","2004","Not applicable","Not applicable","Percent","5.92388"
"Malaysia","2003","Not applicable","Not applicable","Percent","7.50288"
"Malaysia","2002","Not applicable","Not applicable","Percent","7.65793"
"Malaysia","2001","Not applicable","Not applicable","Percent","7.48447"
"Malaysia","2000","Not applicable","Not applicable","Percent","5.97162"
"Malaysia","1999","Not applicable","Not applicable","Percent","5.68681"
"Malaysia","1997","Not applicable","Not applicable","Percent","4.62038"
"Malaysia","1996","Not applicable","Not applicable","Percent","4.91385"
"Malaysia","1995","Not applicable","Not applicable","Percent","4.34257"
"Malaysia","1994","Not applicable","Not applicable","Percent","4.70529"
"Malaysia","1993","Not applicable","Not applicable","Percent","4.65466"
"Malaysia","1992","Not applicable","Not applicable","Percent","5.11139"
"Malaysia","1987","Not applicable","Not applicable","Percent","6.326"
"Malaysia","1986","Not applicable","Not applicable","Percent","7.11294"
"Malaysia","1985","Not applicable","Not applicable","Percent","6.00107"
"Malaysia","1984","Not applicable","Not applicable","Percent","5.56428"
"Malaysia","1982","Not applicable","Not applicable","Percent","6.90835"
"Malaysia","1981","Not applicable","Not applicable","Percent","6.57639"
"Malaysia","1980","Not applicable","Not applicable","Percent","5.62308"
"Malaysia","1979","Not applicable","Not applicable","Percent","4.996"
"Maldives","2012","Not applicable","Not applicable","Percent","6.19429"
"Maldives","2011","Not applicable","Not applicable","Percent","6.7891"
"Maldives","2009","Not applicable","Not applicable","Percent","7.64532"
"Maldives","2008","Not applicable","Not applicable","Percent","5.36833"
"Maldives","2007","Not applicable","Not applicable","Percent","5.35306"
"Maldives","2006","Not applicable","Not applicable","Percent","5.61403"
"Maldives","2005","Not applicable","Not applicable","Percent","5.88066"
"Maldives","2004","Not applicable","Not applicable","Percent","5.31699"
"Maldives","2003","Not applicable","Not applicable","Percent","5.8972"
"Maldives","2002","Not applicable","Not applicable","Percent","6.27291"
"Mali","2011","Not applicable","Not applicable","Percent","4.80865"
"Mali","2010","Not applicable","Not applicable","Percent","4.30656"
"Mali","2009","Not applicable","Not applicable","Percent","4.39837"
"Mali","2008","Not applicable","Not applicable","Percent","3.81687"
"Mali","2005","Not applicable","Not applicable","Percent","4.14605"
"Mali","2004","Not applicable","Not applicable","Percent","4.31077"
"Mali","2003","Not applicable","Not applicable","Percent","4.10313"
"Mali","2002","Not applicable","Not applicable","Percent","3.3701"
"Mali","2001","Not applicable","Not applicable","Percent","3.50314"
"Mali","2000","Not applicable","Not applicable","Percent","3.62371"
"Mali","1999","Not applicable","Not applicable","Percent","2.98639"
"Mali","1998","Not applicable","Not applicable","Percent","2.97969"
"Mali","1986","Not applicable","Not applicable","Percent","2.68761"
"Mali","1982","Not applicable","Not applicable","Percent","3.29459"
"Mali","1981","Not applicable","Not applicable","Percent","3.55256"
"Mali","1980","Not applicable","Not applicable","Percent","3.41697"
"Mali","1978","Not applicable","Not applicable","Percent","3.55959"
"Malta","2011","Not applicable","Not applicable","Percent","7.96375"
"Malta","2010","Not applicable","Not applicable","Percent","6.91128"
"Malta","2009","Not applicable","Not applicable","Percent","5.44377"
"Malta","2008","Not applicable","Not applicable","Percent","5.8462"
"Malta","2007","Not applicable","Not applicable","Percent","6.31293"
"Malta","2004","Not applicable","Not applicable","Percent","4.79185"
"Malta","2002","Not applicable","Not applicable","Percent","4.31127"
"Malta","1998","Not applicable","Not applicable","Percent","4.40561"
"Malta","1992","Not applicable","Not applicable","Percent","4.3141"
"Malta","1991","Not applicable","Not applicable","Percent","3.9203"
"Malta","1990","Not applicable","Not applicable","Percent","3.83142"
"Malta","1989","Not applicable","Not applicable","Percent","3.58874"
"Malta","1988","Not applicable","Not applicable","Percent","3.33824"
"Malta","1987","Not applicable","Not applicable","Percent","3.16532"
"Malta","1986","Not applicable","Not applicable","Percent","3.10572"
"Malta","1985","Not applicable","Not applicable","Percent","3.24834"
"Malta","1984","Not applicable","Not applicable","Percent","3.07872"
"Malta","1983","Not applicable","Not applicable","Percent","3.31469"
"Malta","1982","Not applicable","Not applicable","Percent","2.85408"
"Malta","1981","Not applicable","Not applicable","Percent","2.86533"
"Malta","1979","Not applicable","Not applicable","Percent","3.15364"
"Malta","1978","Not applicable","Not applicable","Percent","3.34883"
"Malta","1977","Not applicable","Not applicable","Percent","3.89761"
"Malta","1976","Not applicable","Not applicable","Percent","3.83189"
"Malta","1975","Not applicable","Not applicable","Percent","4.42221"
"Marshall Islands","2003","Not applicable","Not applicable","Percent","12.24"
"Marshall Islands","2002","Not applicable","Not applicable","Percent","8.66987"
"Marshall Islands","1999","Not applicable","Not applicable","Percent","14.53904"
"Mauritania","2011","Not applicable","Not applicable","Percent","3.81241"
"Mauritania","2010","Not applicable","Not applicable","Percent","4.4329"
"Mauritania","2008","Not applicable","Not applicable","Percent","3.77793"
"Mauritania","2006","Not applicable","Not applicable","Percent","2.52457"
"Mauritania","2004","Not applicable","Not applicable","Percent","2.51687"
"Mauritania","2003","Not applicable","Not applicable","Percent","3.10349"
"Mauritania","2002","Not applicable","Not applicable","Percent","3.05538"
"Mauritania","2001","Not applicable","Not applicable","Percent","2.8395"
"Mauritania","1999","Not applicable","Not applicable","Percent","2.43289"
"Mauritania","1997","Not applicable","Not applicable","Percent","2.34373"
"Mauritius","2013","Not applicable","Not applicable","Percent","3.67388"
"Mauritius","2012","Not applicable","Not applicable","Percent","3.4859"
"Mauritius","2011","Not applicable","Not applicable","Percent","3.41084"
"Mauritius","2010","Not applicable","Not applicable","Percent","3.65574"
"Mauritius","2009","Not applicable","Not applicable","Percent","3.15771"
"Mauritius","2008","Not applicable","Not applicable","Percent","3.20384"
"Mauritius","2007","Not applicable","Not applicable","Percent","3.32607"
"Mauritius","2006","Not applicable","Not applicable","Percent","3.81811"
"Mauritius","2005","Not applicable","Not applicable","Percent","4.20155"
"Mauritius","2004","Not applicable","Not applicable","Percent","4.472"
"Mauritius","2003","Not applicable","Not applicable","Percent","4.48438"
"Mauritius","2002","Not applicable","Not applicable","Percent","3.11292"
"Mauritius","2001","Not applicable","Not applicable","Percent","3.16975"
"Mauritius","2000","Not applicable","Not applicable","Percent","3.81526"
"Mauritius","1999","Not applicable","Not applicable","Percent","3.93976"
"Mauritius","1991","Not applicable","Not applicable","Percent","3.50989"
"Mauritius","1990","Not applicable","Not applicable","Percent","3.15708"
"Mauritius","1989","Not applicable","Not applicable","Percent","3.50096"
"Mauritius","1988","Not applicable","Not applicable","Percent","3.11835"
"Mauritius","1987","Not applicable","Not applicable","Percent","3.04457"
"Mauritius","1986","Not applicable","Not applicable","Percent","3.469"
"Mauritius","1985","Not applicable","Not applicable","Percent","3.94651"
"Mauritius","1984","Not applicable","Not applicable","Percent","4.06972"
"Mauritius","1983","Not applicable","Not applicable","Percent","4.4351"
"Mauritius","1982","Not applicable","Not applicable","Percent","4.58452"
"Mauritius","1981","Not applicable","Not applicable","Percent","5.03284"
"Mauritius","1978","Not applicable","Not applicable","Percent","5.54268"
"Mauritius","1977","Not applicable","Not applicable","Percent","4.42232"
"Mexico","2011","Not applicable","Not applicable","Percent","5.1462"
"Mexico","2010","Not applicable","Not applicable","Percent","5.19197"
"Mexico","2009","Not applicable","Not applicable","Percent","5.21749"
"Mexico","2008","Not applicable","Not applicable","Percent","4.85821"
"Mexico","2007","Not applicable","Not applicable","Percent","4.73198"
"Mexico","2006","Not applicable","Not applicable","Percent","4.74132"
"Mexico","2005","Not applicable","Not applicable","Percent","4.90795"
"Mexico","2004","Not applicable","Not applicable","Percent","4.80018"
"Mexico","2003","Not applicable","Not applicable","Percent","5.18674"
"Mexico","2002","Not applicable","Not applicable","Percent","4.63847"
"Mexico","2001","Not applicable","Not applicable","Percent","4.42832"
"Mexico","2000","Not applicable","Not applicable","Percent","4.13411"
"Mexico","1999","Not applicable","Not applicable","Percent","3.6621"
"Mexico","1998","Not applicable","Not applicable","Percent","3.52947"
"Mexico","1995","Not applicable","Not applicable","Percent","3.86743"
"Mexico","1994","Not applicable","Not applicable","Percent","3.65051"
"Mexico","1992","Not applicable","Not applicable","Percent","3.00129"
"Mexico","1991","Not applicable","Not applicable","Percent","2.53738"
"Mexico","1990","Not applicable","Not applicable","Percent","2.31209"
"Mexico","1989","Not applicable","Not applicable","Percent","2.26588"
"Micronesia, Federated States of","2000","Not applicable","Not applicable","Percent","6.70818"
"Micronesia, Federated States of","1999","Not applicable","Not applicable","Percent","6.40977"
"Moldova","2012","Not applicable","Not applicable","Percent","8.34896"
"Moldova","2011","Not applicable","Not applicable","Percent","8.5597"
"Moldova","2010","Not applicable","Not applicable","Percent","9.11211"
"Moldova","2009","Not applicable","Not applicable","Percent","9.50976"
"Moldova","2008","Not applicable","Not applicable","Percent","8.23733"
"Moldova","2007","Not applicable","Not applicable","Percent","8.29343"
"Moldova","2006","Not applicable","Not applicable","Percent","7.49893"
"Moldova","2005","Not applicable","Not applicable","Percent","7.16273"
"Moldova","2004","Not applicable","Not applicable","Percent","6.77109"
"Moldova","2003","Not applicable","Not applicable","Percent","5.4249"
"Moldova","2002","Not applicable","Not applicable","Percent","5.49791"
"Moldova","2001","Not applicable","Not applicable","Percent","4.84691"
"Moldova","2000","Not applicable","Not applicable","Percent","4.48642"
"Moldova","1999","Not applicable","Not applicable","Percent","4.66255"
"Moldova","1996","Not applicable","Not applicable","Percent","9.8966"
"Monaco","2011","Not applicable","Not applicable","Percent","1.59142"
"Monaco","2010","Not applicable","Not applicable","Percent","1.32022"
"Monaco","2009","Not applicable","Not applicable","Percent","1.32877"
"Monaco","2004","Not applicable","Not applicable","Percent","1.24386"
"Monaco","2000","Not applicable","Not applicable","Percent","1.25536"
"Monaco","1999","Not applicable","Not applicable","Percent","1.19528"
"Monaco","1998","Not applicable","Not applicable","Percent","1.20883"
"Monaco","1997","Not applicable","Not applicable","Percent","1.21242"
"Monaco","1996","Not applicable","Not applicable","Percent","1.08224"
"Monaco","1995","Not applicable","Not applicable","Percent","1.06457"
"Monaco","1992","Not applicable","Not applicable","Percent","0.9136"
"Monaco","1989","Not applicable","Not applicable","Percent","0.95752"
"Monaco","1988","Not applicable","Not applicable","Percent","0.88103"
"Mongolia","2011","Not applicable","Not applicable","Percent","5.47617"
"Mongolia","2010","Not applicable","Not applicable","Percent","5.38598"
"Mongolia","2009","Not applicable","Not applicable","Percent","5.14485"
"Mongolia","2007","Not applicable","Not applicable","Percent","4.69013"
"Mongolia","2004","Not applicable","Not applicable","Percent","4.32573"
"Mongolia","2002","Not applicable","Not applicable","Percent","7.21078"
"Mongolia","2000","Not applicable","Not applicable","Percent","5.55037"
"Mongolia","1999","Not applicable","Not applicable","Percent","5.14566"
"Mongolia","1998","Not applicable","Not applicable","Percent","5.49302"
"Mongolia","1997","Not applicable","Not applicable","Percent","3.94897"
"Montserrat","2009","Not applicable","Not applicable","Percent","5.0569"
"Montserrat","2008","Not applicable","Not applicable","Percent","5.19477"
"Montserrat","2007","Not applicable","Not applicable","Percent","5.28285"
"Morocco","2013","Not applicable","Not applicable","Percent","6.59047"
"Morocco","2012","Not applicable","Not applicable","Percent","6.18678"
"Morocco","2009","Not applicable","Not applicable","Percent","5.3758"
"Morocco","2008","Not applicable","Not applicable","Percent","5.5602"
"Morocco","2007","Not applicable","Not applicable","Percent","6.0196"
"Morocco","2006","Not applicable","Not applicable","Percent","5.49098"
"Morocco","2005","Not applicable","Not applicable","Percent","7.28582"
"Morocco","2004","Not applicable","Not applicable","Percent","5.55045"
"Morocco","2003","Not applicable","Not applicable","Percent","5.64493"
"Morocco","2002","Not applicable","Not applicable","Percent","5.79768"
"Morocco","2001","Not applicable","Not applicable","Percent","5.59592"
"Morocco","2000","Not applicable","Not applicable","Percent","5.76051"
"Morocco","1999","Not applicable","Not applicable","Percent","5.38568"
"Morocco","1998","Not applicable","Not applicable","Percent","5.34362"
"Morocco","1995","Not applicable","Not applicable","Percent","5.60237"
"Morocco","1993","Not applicable","Not applicable","Percent","5.69891"
"Morocco","1991","Not applicable","Not applicable","Percent","4.99091"
"Morocco","1990","Not applicable","Not applicable","Percent","5.27198"
"Morocco","1989","Not applicable","Not applicable","Percent","5.47927"
"Morocco","1988","Not applicable","Not applicable","Percent","5.301"
"Morocco","1987","Not applicable","Not applicable","Percent","5.99355"
"Morocco","1986","Not applicable","Not applicable","Percent","6.02293"
"Morocco","1985","Not applicable","Not applicable","Percent","5.94331"
"Morocco","1984","Not applicable","Not applicable","Percent","6.0341"
"Morocco","1983","Not applicable","Not applicable","Percent","7.19771"
"Morocco","1982","Not applicable","Not applicable","Percent","7.0232"
"Morocco","1981","Not applicable","Not applicable","Percent","6.62301"
"Morocco","1980","Not applicable","Not applicable","Percent","5.8936"
"Morocco","1979","Not applicable","Not applicable","Percent","6.31548"
"Morocco","1978","Not applicable","Not applicable","Percent","6.20183"
"Morocco","1977","Not applicable","Not applicable","Percent","6.08425"
"Morocco","1976","Not applicable","Not applicable","Percent","6.02712"
"Morocco","1975","Not applicable","Not applicable","Percent","5.21271"
"Mozambique","2006","Not applicable","Not applicable","Percent","5.00684"
"Mozambique","2005","Not applicable","Not applicable","Percent","5.20143"
"Mozambique","2004","Not applicable","Not applicable","Percent","4.45532"
"Mozambique","1999","Not applicable","Not applicable","Percent","3.65996"
"Mozambique","1998","Not applicable","Not applicable","Percent","2.31234"
"Myanmar","2011","Not applicable","Not applicable","Percent","0.78606"
"Myanmar","2003","Not applicable","Not applicable","Percent","0.67288"
"Myanmar","2001","Not applicable","Not applicable","Percent","1.25876"
"Myanmar","2000","Not applicable","Not applicable","Percent","0.57419"
"Myanmar","1999","Not applicable","Not applicable","Percent","0.61971"
"Myanmar","1995","Not applicable","Not applicable","Percent","1.20248"
"Myanmar","1978","Not applicable","Not applicable","Percent","1.64366"
"Myanmar","1977","Not applicable","Not applicable","Percent","1.63782"
"Myanmar","1976","Not applicable","Not applicable","Percent","1.72619"
"Myanmar","1975","Not applicable","Not applicable","Percent","1.98739"
"Namibia","2010","Not applicable","Not applicable","Percent","8.49519"
"Namibia","2008","Not applicable","Not applicable","Percent","6.41416"
"Namibia","2006","Not applicable","Not applicable","Percent","6.03776"
"Namibia","2003","Not applicable","Not applicable","Percent","6.11511"
"Namibia","2002","Not applicable","Not applicable","Percent","6.76239"
"Namibia","2001","Not applicable","Not applicable","Percent","6.91282"
"Namibia","2000","Not applicable","Not applicable","Percent","6.99139"
"Namibia","1999","Not applicable","Not applicable","Percent","7.21755"
"Nepal","2010","Not applicable","Not applicable","Percent","4.71699"
"Nepal","2009","Not applicable","Not applicable","Percent","4.66376"
"Nepal","2008","Not applicable","Not applicable","Percent","3.80517"
"Nepal","2007","Not applicable","Not applicable","Percent","3.51721"
"Nepal","2006","Not applicable","Not applicable","Percent","3.60536"
"Nepal","2005","Not applicable","Not applicable","Percent","3.36464"
"Nepal","2004","Not applicable","Not applicable","Percent","3.17194"
"Nepal","2003","Not applicable","Not applicable","Percent","3.11435"
"Nepal","2002","Not applicable","Not applicable","Percent","3.15283"
"Nepal","2001","Not applicable","Not applicable","Percent","3.70838"
"Nepal","2000","Not applicable","Not applicable","Percent","2.97515"
"Nepal","1999","Not applicable","Not applicable","Percent","2.89331"
"Nepal","1998","Not applicable","Not applicable","Percent","2.89288"
"Netherlands","2011","Not applicable","Not applicable","Percent","5.93098"
"Netherlands","2010","Not applicable","Not applicable","Percent","5.97925"
"Netherlands","2009","Not applicable","Not applicable","Percent","5.92055"
"Netherlands","2008","Not applicable","Not applicable","Percent","5.47501"
"Netherlands","2007","Not applicable","Not applicable","Percent","5.29192"
"Netherlands","2006","Not applicable","Not applicable","Percent","5.45794"
"Netherlands","2005","Not applicable","Not applicable","Percent","5.48236"
"Netherlands","2004","Not applicable","Not applicable","Percent","5.45571"
"Netherlands","2003","Not applicable","Not applicable","Percent","5.41944"
"Netherlands","2002","Not applicable","Not applicable","Percent","5.177"
"Netherlands","2001","Not applicable","Not applicable","Percent","5.05811"
"Netherlands","2000","Not applicable","Not applicable","Percent","4.95862"
"Netherlands","1999","Not applicable","Not applicable","Percent","4.89523"
"Netherlands","1998","Not applicable","Not applicable","Percent","4.93932"
"Netherlands","1996","Not applicable","Not applicable","Percent","4.84374"
"Netherlands","1995","Not applicable","Not applicable","Percent","4.94316"
"Netherlands","1994","Not applicable","Not applicable","Percent","5.03425"
"Netherlands","1993","Not applicable","Not applicable","Percent","5.13504"
"Netherlands","1991","Not applicable","Not applicable","Percent","5.5723"
"Netherlands","1990","Not applicable","Not applicable","Percent","5.64478"
"Netherlands","1988","Not applicable","Not applicable","Percent","5.90676"
"Netherlands","1987","Not applicable","Not applicable","Percent","6.36715"
"Netherlands","1986","Not applicable","Not applicable","Percent","6.00401"
"Netherlands","1985","Not applicable","Not applicable","Percent","5.90829"
"Netherlands","1984","Not applicable","Not applicable","Percent","5.49506"
"Netherlands","1983","Not applicable","Not applicable","Percent","5.93842"
"Netherlands","1982","Not applicable","Not applicable","Percent","6.14809"
"Netherlands","1981","Not applicable","Not applicable","Percent","6.20678"
"Netherlands","1980","Not applicable","Not applicable","Percent","6.36162"
"Netherlands","1979","Not applicable","Not applicable","Percent","6.57487"
"Netherlands","1978","Not applicable","Not applicable","Percent","6.6325"
"Netherlands","1977","Not applicable","Not applicable","Percent","6.60901"
"Netherlands","1976","Not applicable","Not applicable","Percent","6.77494"
"Netherlands","1975","Not applicable","Not applicable","Percent","6.85157"
"New Caledonia","1993","Not applicable","Not applicable","Percent","0.55471"
"New Caledonia","1992","Not applicable","Not applicable","Percent","0.53335"
"New Caledonia","1991","Not applicable","Not applicable","Percent","0.44924"
"New Caledonia","1990","Not applicable","Not applicable","Percent","0.45406"
"New Caledonia","1989","Not applicable","Not applicable","Percent","0.37096"
"New Caledonia","1987","Not applicable","Not applicable","Percent","0.70105"
"New Caledonia","1986","Not applicable","Not applicable","Percent","0.68511"
"New Caledonia","1984","Not applicable","Not applicable","Percent","0.72399"
"New Caledonia","1983","Not applicable","Not applicable","Percent","0.69993"
"New Zealand","2012","Not applicable","Not applicable","Percent","7.35441"
"New Zealand","2011","Not applicable","Not applicable","Percent","7.08727"
"New Zealand","2010","Not applicable","Not applicable","Percent","7.14296"
"New Zealand","2009","Not applicable","Not applicable","Percent","6.41684"
"New Zealand","2008","Not applicable","Not applicable","Percent","5.58871"
"New Zealand","2007","Not applicable","Not applicable","Percent","5.99144"
"New Zealand","2006","Not applicable","Not applicable","Percent","6.00146"
"New Zealand","2005","Not applicable","Not applicable","Percent","6.335"
"New Zealand","2004","Not applicable","Not applicable","Percent","6.57239"
